view_count;likes;dislikes;comment_count
526369;22858;281;1195
4122619;52705;1532;7751
212503;13480;284;467
10199900;136848;26566;4126
947238;13970;250;902
4599791;105310;3020;5076
6413739;144472;1050;4000
860514;32797;348;2246
268977;35210;872;2014
359043;5260;136;692
1977756;73460;698;5565
511608;6318;126;831
591436;45223;765;1495
660042;65066;281;4184
2757321;106899;2017;3785
424881;2944;76;694
3900476;101804;1851;4732
11140303;595360;7822;19199
797329;8390;303;436
143717;9920;484;3322
23857269;592433;12211;51918
4807127;207219;4103;9130
375373;13108;448;875
5571042;457871;6769;112830
508189;28856;792;158
6145132;117030;1406;4193
865921;15537;480;4559
1407828;40821;1106;2029
1260432;19003;823;9452
83200237;1588992;228806;1644
272585;7513;183;255
124412;9142;203;72
896402;52251;278;1570
447590;10746;236;347
213007;13788;455;1201
869244;12965;182;1299
513468;8391;127;1326
1984005;54996;2400;270
490750;23766;233;599
348458;16791;327;628
992465;25663;375;1227
21047797;144682;21006;525
26265827;2559592;32273;232942
2170145;34278;555;1888
620803;5091;229;276
373712;3776;474;390
290852;21103;579;661
839758;17878;149;1416
2349347;110930;1603;13601
201484;6471;80;713
1933870;26209;769;2545
2065998;120736;2445;4245
241629;13463;114;787
5606504;285977;1636;25296
707401;5511;166;282
4011773;111666;2058;6055
5838592;154984;1996;2706
898026;52048;582;10045
1803745;92163;2020;2887
5455699;436783;10150;45777
7346820;622020;10951;4134
2360886;27735;718;2869
3069365;124970;12023;8631
224562;12657;66;440
4084457;51612;2875;4612
1208168;32444;459;649
2663362;44104;976;3422
151887;1615;31;225
915859;36937;420;2128
2407490;22068;1077;3152
13320366;345757;7121;17659
815899;46190;1889;3837
405613;16949;386;973
5165666;200033;3224;5429
8279146;395255;4068;23439
1824175;19070;590;3970
1204149;39058;1251;4846
48344;134;11;10
1309183;40926;826;2859
87289;6874;59;263
213701;1623;19;94
8752310;6265;840;588
1267437;56135;591;7934
2153509;23190;435;2982
10902541;833639;26509;1136
540133;11897;798;1459
261927922;3729026;92669;130016
22341875;330826;10660;15553
736398;14716;268;524
1668880;8490;577;914
124171970;5744386;193284;31401
208355;7923;223;968
292838;5376;88;378
1705839;78674;929;4295
391808;2524;358;1037
1593727;97153;3803;6566
4209479;77802;2154;4613
188449;10344;83;381
3192815;116062;1487;15421
2106366;97737;1109;7527
844152;12646;1190;831
715413;66350;713;5857
585491;18167;280;527
3857960;175488;558;4413
6844687;222266;8487;24369
567068;57172;343;7243
364966;18407;735;2046
183364;7013;326;548
3590262;233417;4937;1580
3602635;23495;735;2251
993735;49198;552;3780
618475;34366;682;3933
316786;6530;130;651
1726644;90457;857;2133
2177257;21450;722;0
9133831;1984016;4127;90396
3502941;125687;3551;7986
896080;25843;295;1785
1869320;23471;952;1017
2188590;88964;406;1112
1009556;28503;677;1867
280350;3153;133;0
2642395;192440;2762;13472
3144237;116337;2018;586
2169720;144982;2761;6441
1005656;72891;594;1224
3415244;44328;1068;321
3061250;164457;3474;4096
1434492;115606;553;4260
2226297;193732;1743;16795
1621799;23452;450;2461
19137482;1540577;21798;2010
3069967;131434;1741;7974
2518224;44558;523;2915
968435;52204;945;5582
722555;9752;673;6909
2231633;203143;1651;8966
26603578;227517;4368;7220
4730383;222071;1391;4639
49805468;703865;19899;12397
2526902;38316;1632;5250
726428;9901;254;2280
203625;2682;115;790
1415244;47332;2643;6612
7759993;213173;2661;8244
1525665;40446;400;2924
33825584;2015973;51668;5232
589194;19594;184;918
607151;22672;308;766
848802;27301;168;626
828588;12524;325;1701
2265774;132509;1937;2525
365652;13786;176;704
486770;47039;291;1505
158342;6396;185;1748
169018;5471;181;473
3137222;77526;1304;6079
11179612;309503;10902;4238
3220459;116341;2515;4918
1383900;16081;339;1722
2990496;29215;788;1117
220553;9403;68;349
1323832;83984;4534;1710
980010;61912;280;7044
642779;54412;110;2368
432907;7296;283;271
210812;4006;76;608
1432792;248739;259;8196
565927;45573;1049;2751
7021999;106816;4809;8097
1111399;130340;1896;459
939533;27769;310;3790
4669789;291202;2215;11175
6668751;523063;2502;10882
1572889;32230;1862;253
1230824;28403;1145;4727
5339692;572627;5269;1338
2430329;57546;48049;20102
31067387;776708;15021;28619
666162;49055;289;3014
77569;2442;68;67
372450;25287;692;5440
1010623;56588;242;1661
1018029;52395;1445;10451
12983938;258527;3171;6970
253879;21180;278;1748
27709201;602062;9262;17376
3875928;271163;7802;538
5355820;120474;639;2868
2726008;70534;1398;6883
466952;5096;37085;0
423417;8121;435;504
1484357;24305;683;3358
2268677;15652;979;186
771381;10903;817;746
439455;16328;222;900
11468031;188810;4910;5545
1688002;12697;1514;176
258466;11285;102;647
285466;2514;267;664
907467;58616;889;1900
2437249;28509;632;398
226078;16942;1446;1812
360922;12913;196;477
3121054;106412;2888;10733
42596940;902597;21444;36175
5124693;162380;2026;10066
117660;6290;69;388
172111;4275;109;351
1221016;39730;275;3347
158999;4822;174;585
748169;9953;113;802
1362601;94655;980;5705
490933;8398;1649;3131
1493130;50421;662;4219
424395;20399;250;1179
451492;42029;518;2310
115495;1115;48;17
432537;16846;673;1446
296401;4022;283;368
1032846;14947;167;459
11904281;444256;16368;15840
9125991;67637;6400;5011
294815;2847;59;696
1050118;89182;1488;1443
3047360;270743;1062;23805
8820989;482269;6364;16755
15774283;249477;3963;19906
153609;4802;54;461
3608537;226039;2047;15225
370432;7682;93;555
1886573;39973;561;4407
2156244;31052;1746;3494
2151355;41314;755;2569
12108090;424104;7400;19056
4625689;221515;1847;5101
3168173;77258;1721;4550
771818;19384;538;1932
3370107;157286;1051;3339
47061;4305;21;287
7128466;151814;2748;4928
902123;46353;410;2946
4037713;198723;3849;10575
1128246;58236;739;2203
4036252;94323;1306;6092
1541958;29290;1903;4009
1364882;19243;1676;5833
419986;53846;230;1528
862409;23623;1058;1045
273340;15269;488;1360
268544;46490;455;2744
17872469;235290;5464;3710
33109845;409279;20947;9397
6969158;258617;6436;18437
49695802;663834;6744;35850
2420432;119236;877;6295
41769232;523005;12174;23137
419279;11257;331;638
882722;43513;1335;2054
1837789;252630;746;4759
1479158;135339;840;6882
1039978;9182;850;656
441879;35272;1699;4839
2795987;92563;1303;4143
2741364;112338;1477;4317
221253;3665;319;855
3886750;146266;1009;6627
551635;13963;457;812
30599025;257991;5456;4847
1916475;46719;966;2551
29601239;913667;28922;61624
1141695;55742;492;2009
569691;43304;151;2397
974292;2727;265;927
290425;6741;332;127
125413;5233;63;144
276984;18693;81;3018
326786;17953;1007;1438
3402473;18982;4308;6421
589419;74281;995;1057
4291220;435059;5247;1342
22005663;573554;7611;19723
2618930;526902;1348;18822
7511660;68233;9577;2612
318637;3051;142;2220
2015539;39832;2223;2743
2843046;122320;1083;4527
1360350;49175;165;684
1261025;7701;954;5709
3547069;170272;7519;2022
4541953;176724;1871;2592
5854465;304379;11114;12031
298045;5790;225;519
134729;5764;266;99
14962505;230445;8115;11433
6131525;401773;29504;765
810189;42732;728;1940
186846;741;2731;2076
657191;6696;285;2447
168507;7423;133;508
2319706;123915;616;1567
1961597;112090;1322;3491
847577;4037;178;261
2460876;149738;684;6020
975254;41825;525;1226
3995284;122620;1449;6986
1500820;85954;660;2318
821658;23237;513;3634
174881;2563;96;1236
4387652;277890;2915;11752
815557;9761;236;522
1130659;8403;838;1207
638148;51664;361;1995
7278239;647964;7497;1823
14759492;159219;3728;6244
243697;10949;182;1974
114781;4527;33;334
3052238;89671;3157;4618
82606;4383;91;510
51677664;1792506;22238;55819
2687659;99627;1864;5641
5485408;79236;2585;10946
40138049;1384218;5930;114302
673967;29038;589;1941
433952;8678;234;591
192106;2400;24;446
306892;19951;169;1467
289730;13992;145;803
1571887;74471;530;3609
52577;2166;56;117
382588;3999;246;5
824999;14177;125;618
479121;38554;378;731
1925954;69713;979;7196
2932605;60480;1108;2441
574169;6074;101;399
1484789;53084;903;3496
82533;953;92;105
4879073;288451;2079;12973
2553444;22421;1758;6266
1161543;57630;583;2416
1133120;8685;444;2271
4132953;61458;1745;7112
1811970;101294;967;1999
160234180;11729606;83338;562671
22807984;334676;6730;11606
483458;7869;97;802
7096531;128038;3180;7069
3080585;119488;1639;6365
3060277;24536;1421;363
100218;2009;276;107
761160;47842;2843;1617
1846408;156633;1952;2602
933653;38818;484;1248
12844847;184376;6289;5357
466542;23922;781;1787
1790681;72981;477;5950
2867208;73139;3952;6517
215902;1985;150;51
934970;55071;803;1434
3047060;67622;1077;1758
1291213;14163;534;1327
5226174;158317;1865;8583
552005;38674;586;4965
18698787;535018;17589;77457
522615;6021;278;408
525273;9048;133;263
1279419;16484;979;2708
4541917;652584;5591;14588
284261;10713;2575;2049
332721;2664;110;128
822383;55564;392;1451
3684286;25525;3072;12000
361908;32928;533;1173
6273721;215002;6030;10807
2112371;31709;1313;1900
793060;21069;223;845
1924273;31605;627;3360
755502;13654;291;1352
12824067;117794;21242;700
1917865;36192;457;3150
2030251;121196;1020;4540
723213;3791;433;2091
86698741;1659603;62358;70137
6966225;464629;18133;112308
6720435;54849;9510;195
636705;65215;546;1282
1261176;159808;1277;5064
4013009;210907;2610;6109
269068;20722;90;2106
934128;7109;127;645
193780;5324;211;730
4133726;31009;5230;527
4954843;85542;1520;3910
1373983;53013;748;1382
10273033;646487;8976;7574
560915;43312;1277;2525
510110;4598;174;369
1688467;15317;747;2420
1143105;76541;17896;32674
748283;6554;190;1487
9501598;200730;4541;28915
1697401;73625;2047;1389
1681559;103020;1382;1566
443171;15477;688;647
327106;23180;294;71
5809760;164839;2125;8833
3766315;78295;1473;4730
277663;3279;215;770
2899506;202817;1840;2821
48701962;1260345;59955;76206
3496908;697993;1266;20332
595695;2353;303;723
36844371;583523;11023;54168
1422468;10817;596;143
1949250;50858;4799;10467
3611711;100345;1133;4986
11843412;731707;5812;16361
8871341;453103;10863;720
1159175;14960;385;842
2295488;53465;961;3615
1639099;64805;908;2703
532622;37110;425;1528
5065802;427183;7509;3656
800852;6944;295;1938
3390795;117005;2377;4039
67849;5414;84;364
1126727;49901;571;2961
594593;15074;882;526
8109166;827819;10377;2020
12386521;353009;3473;16533
157284658;2361547;41775;65393
1697253;93501;1545;15974
892182;34682;120;951
192180;6959;264;213
198517;9945;240;1614
1312694;58932;485;2677
2972648;72440;2289;4437
5583292;219280;2796;6244
226528;6738;235;1691
1281671;21681;591;1727
520617;30824;373;1339
352320;4206;62;343
247702;9155;252;881
10917522;221273;3630;10576
218991;14197;610;1904
458676;4189;159;414
147955;10792;188;91
1807035;97438;1040;5678
629305;6160;164;1129
2570072;91966;1540;3941
93472;13039;77;165
8907369;164016;2252;7194
249025;9819;273;994
415753;9841;627;687
4099354;232248;2267;18111
4516233;66053;1406;2414
1188258;80985;1026;1651
456523;77749;461;10791
1151572;88399;528;5478
9485860;346748;3435;14742
179599;9361;361;45
5729121;143038;3786;4281
102200;12636;23;575
4167460;312601;8631;13370
650526;23017;310;725
11537783;229728;4383;13129
1070873;38326;819;7230
66021;732;14;159
7055303;113859;3637;8700
37042961;11307;3855;23
447964;5626;209;921
655193;12153;1143;456
676093;26140;374;545
547548;14010;634;1873
5741232;303885;3497;24956
48862195;752256;20645;30007
768180;35017;624;1888
827986;3315;217;415
8493988;572945;2583;28969
124805;1501;50;345
271945;7447;97;965
2554538;246338;739;10000
4364715;130995;2935;5630
5452618;503156;2460;15537
356127;2277;75;320
735937;11517;373;1279
1205158;76510;260;2333
145492;20210;1127;669
1339671;21013;4114;0
5150332;173315;1788;9041
18247856;387636;31674;6292
230419;26879;1530;2462
1366716;26788;616;1941
5566782;130233;9937;5846
260497;31847;403;1383
18206450;470233;14194;14511
2527459;123137;1335;2401
129636;12337;1261;1194
2253557;93988;1345;6141
7750968;434765;6447;4180
304680;13758;307;1386
864460;36487;1542;2451
134984;5802;36;213
24937432;344869;6539;5327
2604560;39620;1555;1302
1422013;96387;335;4319
44042630;2841061;15230;92233
4617787;198082;3882;15318
4664041;416528;4483;2753
1677553;68666;657;4480
1130037;83512;912;9390
4208090;235355;1603;16495
89683;4275;35;241
266878;5236;93;145
633861;37093;134;532
925277;46077;427;3692
1673352;104280;558;8629
692746;8916;238;912
120440;4911;171;466
1486746;25126;374;833
4210976;251668;2435;9969
2857813;159696;1495;3181
346096;16916;200;827
1173158;68669;685;11263
3625307;177600;1831;3515
641256;11317;544;2213
586082;3096;154;780
44945;7298;61;485
783574;8497;438;4363
707763;8836;144;265
310060;6456;1404;2784
164884;3353;64;424
962468;39156;371;1417
1595298;53941;1130;3255
272178;21731;123;466
346392;11266;41;286
359823;10138;333;299
353273;25872;491;810
655192;5134;213;971
4838341;377975;7894;20836
3726448;168122;4608;715
1558810;119859;422;4417
424280;16149;136;550
3004727;166187;679;4584
2111230;21062;1928;521
16356148;508820;8061;20212
209454;3379;74;588
6348135;202692;13409;62665
317430;25506;354;57
950370;38403;561;8128
773810;26465;390;1147
489364;5588;106;756
2465672;174072;2690;1991
2049916;20033;674;4658
2436858;147347;980;4156
5954553;272939;4364;37879
225295;5101;488;1084
3707904;181421;1129;26188
593218;29875;606;2362
15547126;74761;9643;5506
1317924;64759;631;5018
3751053;63104;1215;8205
866086;11953;203;1006
1600603;21182;572;4404
7814004;116159;7336;2392
13214134;98188;5269;6359
251479;18460;144;389
894116;16496;586;1589
2793767;305417;2322;1606
622783;34974;662;978
513695;6783;1364;1570
838218;105403;510;9960
742165;6718;127;1022
1247621;62587;2112;6951
299240;4714;262;451
694666;9106;381;2672
81507;2098;26;392
241696;36401;341;3336
1329186;115091;605;1230
3914728;70676;1850;4775
397198;22508;412;2291
